epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,245.549,0.64006,0.64754,1.08735,0.958,0.9921,0.99167,0.78913,0.72737,0.55963,1.12314,0.0011156,0.0011156,0.0011156
136,247.401,0.68105,0.65164,1.09941,0.87836,1,0.98142,0.77415,0.82346,0.57939,1.16626,0.001109,0.001109,0.001109
137,249.204,0.65429,0.688,1.08529,0.91072,0.95652,0.95614,0.73904,0.90863,0.60764,1.24653,0.0011024,0.0011024,0.0011024
138,251.092,0.69184,0.64299,1.10358,0.91603,1,0.99006,0.79522,0.75858,0.53905,1.14557,0.0010958,0.0010958,0.0010958
139,252.875,0.65872,0.64106,1.09267,0.95805,0.99326,0.9825,0.81509,0.76099,0.54499,1.16706,0.0010892,0.0010892,0.0010892
140,254.674,0.67427,0.65537,1.08889,0.87851,1,0.96386,0.76355,0.77508,0.5669,1.13974,0.0010826,0.0010826,0.0010826
141,256.455,0.6488,0.66445,1.08966,1,0.95131,0.995,0.82062,0.73689,0.51909,1.09652,0.001076,0.001076,0.001076
142,258.26,0.64125,0.62009,1.09899,0.99417,1,0.995,0.79981,0.73608,0.51607,1.09541,0.0010694,0.0010694,0.0010694
143,260.061,0.6878,0.73825,1.10784,0.94263,0.95652,0.98082,0.80554,0.71739,0.53965,1.11161,0.0010628,0.0010628,0.0010628
144,261.863,0.65201,0.65162,1.09965,1,0.98811,0.995,0.81881,0.7499,0.48713,1.14528,0.0010562,0.0010562,0.0010562
145,263.66,0.61588,0.601,1.06615,1,0.9796,0.995,0.81463,0.73944,0.52276,1.1191,0.0010496,0.0010496,0.0010496
146,265.453,0.67265,0.62723,1.10426,0.95815,0.99559,0.99333,0.80301,0.70891,0.52234,1.11576,0.001043,0.001043,0.001043
147,267.244,0.62645,0.59787,1.06939,0.95285,0.95652,0.99038,0.82883,0.69006,0.54352,1.12192,0.0010364,0.0010364,0.0010364
148,269.07,0.63462,0.6256,1.08097,0.87138,0.91304,0.97085,0.79914,0.69649,0.67504,1.13422,0.0010298,0.0010298,0.0010298
149,270.859,0.62335,0.58649,1.06646,0.94735,0.78226,0.95056,0.77085,0.74259,0.69086,1.17663,0.0010232,0.0010232,0.0010232
150,272.653,0.67053,0.62996,1.10221,0.90422,0.91304,0.95127,0.76973,0.75861,0.60453,1.15656,0.0010166,0.0010166,0.0010166
151,274.431,0.62837,0.6044,1.06166,1,0.98666,0.995,0.7682,0.8347,0.52232,1.24182,0.00101,0.00101,0.00101
152,276.215,0.61115,0.60421,1.076,0.95332,1,0.99333,0.76301,0.9221,0.5734,1.2586,0.0010034,0.0010034,0.0010034
153,278.034,0.60794,0.60554,1.07531,1,0.9492,0.98375,0.77805,0.81648,0.59047,1.16577,0.0009968,0.0009968,0.0009968
154,279.836,0.63694,0.63003,1.07758,0.95364,1,0.99167,0.78838,0.77191,0.51181,1.14905,0.0009902,0.0009902,0.0009902
155,281.618,0.59631,0.63552,1.08542,1,0.9867,0.995,0.73066,0.90836,0.52483,1.21014,0.0009836,0.0009836,0.0009836
156,283.43,0.63108,0.61136,1.08165,1,0.98238,0.995,0.77275,0.83951,0.55135,1.15724,0.000977,0.000977,0.000977
157,285.342,0.6251,0.64264,1.08329,0.95594,1,0.99333,0.75666,0.81227,0.52415,1.23647,0.0009704,0.0009704,0.0009704
158,287.121,0.64488,0.61949,1.07518,0.95716,0.97178,0.99333,0.79709,0.78539,0.46905,1.21057,0.0009638,0.0009638,0.0009638
159,288.899,0.57541,0.55785,1.0423,0.95644,1,0.995,0.78212,0.79186,0.5087,1.22934,0.0009572,0.0009572,0.0009572
160,290.687,0.61251,0.61469,1.07713,0.99555,0.95652,0.9918,0.78527,0.76041,0.50451,1.19336,0.0009506,0.0009506,0.0009506
161,292.487,0.56936,0.57207,1.04864,0.9582,0.99676,0.99167,0.81285,0.69438,0.48159,1.10848,0.000944,0.000944,0.000944
162,294.279,0.55113,0.54822,1.02866,0.91537,0.94102,0.94491,0.77517,0.71629,0.49015,1.10988,0.0009374,0.0009374,0.0009374
163,296.062,0.6207,0.57591,1.06153,0.94796,1,0.98417,0.81654,0.71611,0.46517,1.09395,0.0009308,0.0009308,0.0009308
164,297.903,0.56244,0.55788,1.05152,0.99176,1,0.995,0.85881,0.69326,0.45585,1.07215,0.0009242,0.0009242,0.0009242
165,299.73,0.60479,0.58434,1.07726,0.95828,0.99881,0.99333,0.84992,0.68265,0.56255,1.07264,0.0009176,0.0009176,0.0009176
166,301.528,0.58941,0.57992,1.06157,0.95245,1,0.99167,0.84391,0.695,0.51532,1.09584,0.000911,0.000911,0.000911
167,303.464,0.59105,0.59036,1.07314,0.98908,1,0.995,0.83563,0.69446,0.54577,1.11631,0.0009044,0.0009044,0.0009044
168,305.246,0.61284,0.55912,1.08612,0.99147,1,0.995,0.81118,0.76924,0.53187,1.15071,0.0008978,0.0008978,0.0008978
169,307.025,0.59313,0.57887,1.07026,0.99798,1,0.995,0.79304,0.77141,0.5105,1.13858,0.0008912,0.0008912,0.0008912
170,308.837,0.58175,0.56444,1.05556,0.99705,1,0.995,0.79984,0.75152,0.50687,1.12104,0.0008846,0.0008846,0.0008846
171,310.643,0.58668,0.54755,1.07125,0.99602,1,0.995,0.8248,0.79808,0.48035,1.11525,0.000878,0.000878,0.000878
172,312.492,0.60284,0.58472,1.07669,0.99531,1,0.995,0.77403,0.86236,0.51332,1.17417,0.0008714,0.0008714,0.0008714
173,314.326,0.59266,0.58495,1.06717,0.93549,1,0.995,0.78486,0.8265,0.54127,1.1845,0.0008648,0.0008648,0.0008648
174,316.128,0.62029,0.57412,1.07209,0.95832,0.99963,0.98958,0.76729,0.81333,0.59115,1.19579,0.0008582,0.0008582,0.0008582
175,317.943,0.60838,0.61281,1.07524,0.99617,1,0.995,0.77845,0.78318,0.57703,1.1651,0.0008516,0.0008516,0.0008516
176,319.771,0.60589,0.59586,1.07431,0.99233,1,0.995,0.81226,0.76765,0.53476,1.16992,0.000845,0.000845,0.000845
177,321.571,0.60453,0.60148,1.06444,0.95753,1,0.995,0.82974,0.74179,0.49085,1.14913,0.0008384,0.0008384,0.0008384
178,323.492,0.60634,0.57581,1.08099,0.98445,1,0.995,0.8216,0.77059,0.54869,1.16014,0.0008318,0.0008318,0.0008318
179,325.296,0.5831,0.55943,1.04453,0.9946,1,0.995,0.82317,0.75152,0.51104,1.1629,0.0008252,0.0008252,0.0008252
180,327.095,0.54896,0.56615,1.04757,0.95625,1,0.995,0.79281,0.79931,0.50029,1.173,0.0008186,0.0008186,0.0008186
181,328.893,0.61061,0.5965,1.0653,0.99341,1,0.995,0.7797,0.86699,0.53321,1.24213,0.000812,0.000812,0.000812
182,330.71,0.56407,0.54068,1.06233,0.98987,1,0.995,0.78543,0.8859,0.56263,1.24646,0.0008054,0.0008054,0.0008054
183,332.513,0.58337,0.55001,1.04699,0.99187,1,0.995,0.80468,0.83727,0.53715,1.23042,0.0007988,0.0007988,0.0007988
184,334.318,0.57613,0.56099,1.04409,0.95269,1,0.98792,0.82814,0.77144,0.51105,1.20255,0.0007922,0.0007922,0.0007922
185,336.128,0.56685,0.54454,1.04867,0.99808,1,0.995,0.81167,0.79138,0.49693,1.18829,0.0007856,0.0007856,0.0007856
186,337.952,0.54875,0.52691,1.04775,1,0.98804,0.995,0.81034,0.7898,0.51546,1.17495,0.000779,0.000779,0.000779
