trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays
52,2439 美律,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.0604010526105182,通信網路業,2439 美律,98.4,93.0,334.3806070934752,0.047923322683705916,-0.01273885350318471,400685784.0,96358602.0,4072010.0,1036114.0,0,0,-0.056224847560975455,0.0,0.0,-0.056224847560975455,0.0
53,2442 新美齊,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.0031049717699723756,建材營造,2442 新美齊,18.15,18.2,18.076486664792366,-0.03457446808510645,0.0027548209366392573,124473371.55,22409478.0,6858037.0,1231290.0,0,0,-0.0014250000000000096,0.017831267217630842,0.0,-0.018918918918918948,4.0
54,2449 京元電子,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.025280904511970848,半導體業,2449 京元電子,54.3,56.0,154.34375323847266,0.0,-0.008849557522123908,615479857.1999999,350724080.0,11334804.0,6262930.0,0,0,-0.0014250000000000096,0.05558388581952123,0.0,-0.024390243902438824,5.0
55,2455 全新,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.034900416511270516,通信網路業,2455 全新,122.0,127.0,295.9311176894513,0.008264462809917328,0.03252032520325199,524400408.0,524849217.0,4298364.0,4132671.0,0,0,-0.0014250000000000096,0.039500204918032855,0.0,-0.023809523809523725,4.0
56,2474 可成,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.026609361333224446,其他電子業,2474 可成,191.5,187.5,695.0864846091001,0.005249343832020914,0.00536193029490617,165618392.0,482267437.5,864848.0,2572093.0,0,0,-0.027497454308093916,0.011611227154047166,0.011611227154047166,-0.038659793814433074,2.0
57,2607 榮運,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.011940854920617028,航運業,2607 榮運,27.95,28.45,42.206080223905715,-0.00886524822695034,0.0017605633802817433,47384585.3,76144035.2,1695334.0,2676416.0,0,0,-0.0014250000000000096,0.018224955277280852,0.0,-0.0035087719298246833,4.0
58,2615 萬海,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.021852652597624922,航運業,2615 萬海,62.1,61.1,184.84677983224842,0.004854368932039055,-0.023961661341852958,512126404.2,406739950.5,8246802.0,6656955.0,0,0,-0.017505112721417193,0.00661505636070836,0.00661505636070836,-0.023961661341852958,2.0
59,2723 美食-KY,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.003913094102994119,觀光餐旅,2723 美食-KY,152.0,151.0,274.41508951653026,-0.061728395061728225,0.006666666666666821,275927576.0,70660903.0,1815313.0,467953.0,0,0,-0.004709786184210585,0.01171414473684207,0.0,-0.00990099009900991,3.0
60,2834 臺企銀,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.01630849759210551,金融保險業,2834 臺企銀,14.25,14.1,27.9782088795405,0.0,0.0,420616722.75,175304510.4,29516963.0,12432944.0,0,0,-0.011936315789473961,0.00207877192982453,0.00207877192982453,-0.013986013986014179,2.0
61,2838 聯邦銀,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.0176788884895831,金融保險業,2838 聯邦銀,16.8,16.6,27.555781766037107,-0.0029673590504452063,-0.011904761904761751,13676359.200000001,10676323.200000001,814069.0,643152.0,0,0,-0.013312797619047356,0.001546949404762188,0.001546949404762188,-0.014836795252225587,1.0
