trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays,holding_days
55,00642U 期元大S&P石油,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,0.0865744218750002,vanilla_futures_etf,00642U 期元大S&P石油,16.0,17.41,16.0,0.0126582278481011,0.0075231481481481,154958080.0,70995560.01,9684880.0,4077861.0,0,0,-0.02014828125,0.0865744218750002,0.0091848593750001,-0.0290661719233149,10.0,20.0
56,00830 國泰費城半導體,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,0.0404127481481482,foreign_etf,00830 國泰費城半導體,33.75,35.27,37.3509485798836,0.0150375939849625,-0.0045159469376233,194017612.5,235428167.02,5748670.0,6675026.0,0,0,-0.0100740740740743,0.0497777777777779,0.0228148148148148,-0.0321552723059098,12.0,20.0
57,00861 元大全球未來通訊,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,0.0230529541169073,foreign_etf,00861 元大全球未來通訊,31.82,32.6,31.82,0.0066434672571971,-0.002753135515448,41342675.94,11164424.2,1299267.0,342467.0,0,0,-0.0089566781898174,0.0258773334380888,0.004851398491515,-0.013741411617739,11.0,20.0
58,00876 元大全球5G,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,0.0256361931818178,foreign_etf,00876 元大全球5G,30.8,31.73,30.8,0.010498687664042,-0.0127566894835096,25939606.0,13366325.96,842195.0,421252.0,0,0,-0.0152597402597405,0.043506493506493,0.0178571428571427,-0.0325358851674643,11.0,20.0
59,00881 國泰台灣科技龍頭,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,-0.0068220579874934,domestic_etf,00881 國泰台灣科技龍頭,17.59,17.47,19.52687920396925,0.0161756210283074,-0.0251116071428572,816968816.48,339490439.48999995,46445072.0,19432767.0,0,0,-0.0068220579874934,0.0267197271176797,0.0267197271176797,-0.0326688815060907,13.0,20.0
60,00893 國泰智能電動車,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,0.0269972451790638,foreign_etf,00893 國泰智能電動車,18.15,18.64,18.15,0.0168067226890755,-0.0095642933049946,513159959.4,441802428.08,28273276.0,23701847.0,0,0,-0.0104683195592284,0.0369146005509646,0.0308539944903583,-0.0400855157669695,12.0,20.0
61,00895 富邦未來車,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,0.0055837563451781,foreign_etf,00895 富邦未來車,19.7,19.81,19.7,0.0159876224858173,-0.0134462151394422,109522406.1,92612661.26,5559513.0,4675046.0,0,0,-0.0116751269035531,0.035532994923858,0.035532994923858,-0.0455882352941177,11.0,20.0
62,00896 中信綠能及電動車,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,-0.0204443831942789,domestic_etf,00896 中信綠能及電動車,16.78,16.51,17.644814694706504,0.0126735063367531,-0.0271066588096638,76455318.08,66132538.55,4556336.0,4005605.0,0,0,-0.0160905840286055,0.0274135876042904,0.0274135876042904,-0.0423433874709974,12.0,20.0
63,00900 富邦特選高股息30,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,0.0115467914438507,domestic_etf,00900 富邦特選高股息30,13.09,13.3,14.870284415535618,0.0178849144634525,-0.0213392200147166,431742207.82,1189966122.1,32982598.0,89471137.0,0,0,0.0,0.044308632543927,0.0,-0.0270665691294804,14.0,20.0
64,00901 永豐智能車供應鏈,2023-07-13,2023-08-02,2023-07-12,2023-08-01,0.0344827586206896,14,3997,4011,-0.0187667560321717,domestic_etf,00901 永豐智能車供應鏈,14.92,14.64,15.6004311774461,0.0156569094622192,-0.025948103792415,96679600.72,19269738.96,6479866.0,1316239.0,0,0,-0.0187667560321717,0.0147453083109918,0.0147453083109918,-0.0330250990752972,10.0,20.0
